Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
1,67,9,4,"5,5",2,Intervention B,1,1
,,,,,,,,
2,67,4,3,"5,5",2,KG A,1,1
,,,,,,,,
2,36,9,6,"5,5",2,KG A,1,1
,,,,,,,,
1,63,5,2,"5,5",2,KG A,1,1
,,,,,,,,
1,33,9,6,"5,5",2,KG A,2,1
,,,,,,,,
2,55,5,3,"5,5",2,KG A,1,1
,,,,,,,,
2,70,5,3,"5,5",2,KG A,1,1
,,,,,,,,
1,69,4,2,"5,5",2,KG A,1,1
,,,,,,,,
1,18,3,3,"5,5",2,KG A,2,1
,,,,,,,,
2,22,6,2,"5,5",2,KG A,1,1
,,,,,,,,
1,48,8,8,"5,5",2,KG A,1,1
,,,,,,,,
1,60,5,2,"5,5",2,KG A,1,1
,,,,,,,,
2,52,9,5,"5,5",2,KG A,1,1
,,,,,,,,
2,56,5,6,"5,5",2,KG A,1,1
,,,,,,,,
1,67,2,2,"5,5",2,KG A,1,1
,,,,,,,,
1,28,8,4,"5,5",2,KG A,1,1
,,,,,,,,
1,69,9,0,"5,5",2,KG A,1,1
,,,,,,,,
1,46,4,2,"5,5",2,KG A,1,1
,,,,,,,,
2,73,9,6,"5,5",2,KG B,1,1
,,,,,,,,
2,68,5,4,"5,5",2,KG B,1,1
,,,,,,,,
2,47,7,5,"5,5",2,KG B,2,2
,,,,,,,,
1,29,4,8,"5,5",2,KG B,1,1
,,,,,,,,
1,57,5,3,"5,5",2,KG B,1,1
,,,,,,,,
2,68,5,2,"5,5",2,KG B,2,2
,,,,,,,,
2,55,5,2,"5,5",2,KG B,1,1
,,,,,,,,
2,43,9,5,"5,5",2,KG B,1,1
,,,,,,,,
1,71,3,5,"5,5",2,KG B,1,1
,,,,,,,,
2,73,9,5,"5,75",2,Intervention A,2,2
,,,,,,,,
2,38,8,9,"5,75",2,Intervention A,2,2
,,,,,,,,
1,58,6,3,"5,75",2,Intervention A,2,2
,,,,,,,,
2,61,5,5,"5,75",2,Intervention A,2,2
,,,,,,,,
2,71,9,1,"5,75",2,Intervention A,2,2
,,,,,,,,
1,71,5,6,"5,75",2,Intervention A,1,1
,,,,,,,,
1,19,6,1,"5,75",2,Intervention A,1,1
,,,,,,,,
1,46,5,2,"5,75",2,Intervention A,1,1
,,,,,,,,
2,62,6,5,"5,75",2,Intervention A,1,1
,,,,,,,,
2,48,8,0,"5,75",2,Intervention A,1,1
,,,,,,,,
1,34,4,3,"5,75",2,Intervention B,1,2
,,,,,,,,
1,29,6,1,"5,75",2,Intervention B,2,2
,,,,,,,,
2,59,4,4,"5,75",2,Intervention B,1,1
,,,,,,,,
1,68,3,2,"5,75",2,Intervention B,2,2
,,,,,,,,
2,40,4,3,"5,75",2,Intervention B,1,2
,,,,,,,,
2,39,5,7,"5,75",2,Intervention B,1,2
,,,,,,,,
1,72,9,2,"5,75",2,Intervention B,1,2
,,,,,,,,
2,78,9,2,"5,75",2,Intervention B,1,1
,,,,,,,,
2,63,3,4,"5,75",2,Intervention B,2,2
,,,,,,,,
2,70,7,7,"5,75",2,Intervention B,2,2
,,,,,,,,
1,66,9,1,"5,75",2,Intervention B,1,2
,,,,,,,,
2,60,5,8,"5,75",2,KG A,1,1
,,,,,,,,
1,49,9,8,"5,75",2,KG A,1,1
,,,,,,,,
2,31,5,2,"5,75",2,KG A,1,1
,,,,,,,,
2,61,5,3,"5,75",2,KG A,1,1
,,,,,,,,
1,65,4,0,"5,75",2,KG A,2,2
,,,,,,,,
2,72,3,2,"5,75",2,KG A,1,1
,,,,,,,,
2,61,8,9,"5,75",2,KG A,2,1
,,,,,,,,
1,47,5,4,"5,75",2,KG A,2,2
,,,,,,,,
1,70,4,4,"5,75",2,KG A,2,2
,,,,,,,,
1,68,6,2,"5,75",2,KG A,1,1
,,,,,,,,
2,52,6,5,"5,75",2,KG A,2,1
,,,,,,,,
1,43,6,2,"5,75",2,KG A,1,1
,,,,,,,,
1,36,5,3,"5,75",2,KG A,2,2
,,,,,,,,
2,81,4,5,"5,75",2,KG A,1,1
,,,,,,,,
1,70,4,6,"5,75",2,KG B,1,1
,,,,,,,,
2,51,4,3,"5,75",2,KG B,1,1
,,,,,,,,
2,30,7,0,"5,75",2,KG B,1,1
,,,,,,,,
1,27,7,3,"5,75",2,KG B,1,1
,,,,,,,,
2,74,8,5,"5,75",2,KG B,1,1
,,,,,,,,
2,63,4,0,"5,75",2,KG B,1,1
,,,,,,,,
2,35,7,3,"5,75",2,KG B,2,2
,,,,,,,,
2,59,4,2,"5,75",2,KG B,1,1
,,,,,,,,
2,74,3,2,"5,75",2,KG B,1,1
,,,,,,,,
2,32,9,3,"5,75",2,KG B,2,2
,,,,,,,,
1,59,6,3,"5,75",2,KG B,1,1
,,,,,,,,
2,29,6,5,"5,75",2,KG B,1,1
,,,,,,,,
1,25,9,4,"5,75",2,KG B,1,1
,,,,,,,,
2,72,9,8,"5,75",2,KG B,1,1
,,,,,,,,
2,29,9,7,"5,75",2,KG B,1,1
,,,,,,,,
2,45,9,9,"5,75",2,KG B,1,1
,,,,,,,,
2,68,5,2,"5,75",2,KG B,2,2
,,,,,,,,
1,29,4,3,"5,75",2,KG B,1,1
,,,,,,,,
2,76,9,2,6,1,Intervention A,1,1
,,,,,,,,
2,69,7,7,6,1,Intervention A,1,1
,,,,,,,,
1,49,5,1,6,1,Intervention A,1,1
,,,,,,,,
1,49,9,7,6,1,Intervention A,1,1
,,,,,,,,
2,59,5,5,6,1,Intervention A,1,1
,,,,,,,,
1,65,5,2,6,1,Intervention A,1,1
,,,,,,,,
1,20,7,0,6,1,Intervention A,1,1
,,,,,,,,
2,71,4,0,6,1,Intervention A,1,1
,,,,,,,,
2,28,8,2,6,1,Intervention A,1,1
,,,,,,,,
2,61,9,4,6,1,Intervention A,2,2
,,,,,,,,
2,61,5,0,6,1,Intervention A,2,2
,,,,,,,,
