Geschlecht,Alter,EInvestition1_pr_,EInvestition2_pr_,EInvestition3_pr_,Routine1_pr_,Routine2_pr_,Routine3_pr_,Sorglos1_pr_,Sorglos2_pr_,Sorglos3_pr_,Sorglos4_pr_,Ehandlung1_pr_,EHandlung2_pr_,EInvestition1_post,Einvestition2_post,EInvestition3_post,Routine1_post,Routine2_post,Routine3_post,Sorglos1_post,Sorglos2_post,Sorglos3_post,Sorglos4_post,EHandlung1_post,EHandlung2_post,Bildungsabschluss,Einkommen,BioV,Rebound,Gruppe_Bio,Bedingung
1,73,7,7,7,7,1,7,7,7,1,1,7,7,7,7,7,7,1,7,7,7,1,1,7,7,5,0,7,0,1,KG B
2,26,7,7,7,7,7,7,7,5,1,2,7,7,6,6,6,7,1,5,6,4,1,2,7,7,7,5,6.75,0.08333333333333304,1,KG B
1,62,7,7,7,7,1,7,5,7,1,4,7,7,7,7,7,7,1,7,7,5,1,7,7,7,5,3,6.25,0.25,1,KG B
2,60,7,7,7,7,1,7,6,3,1,5,6,7,7,7,7,7,1,7,7,3,1,6,7,7,7,5,6,-0.08333333333333304,1,KG B
2,32,7,7,5,7,4,5,7,5,5,6,6,5,7,7,6,7,5,6,5,5,6,5,5,6,9,5,6.5,0.08333333333333304,1,KG B
2,30,7,7,6,7,1,6,7,6,1,4,6,7,6,5,3,7,1,6,7,3,1,5,6,7,9,8,6.5,0.8333333333333339,1,KG B
2,61,7,6,3,6,2,6,6,6,2,2,7,7,5,6,2,6,2,6,6,5,2,4,7,7,5,2,6.25,0.5,1,KG B
1,62,7,7,7,7,1,7,7,7,1,4,7,7,7,7,7,7,1,7,7,4,1,4,7,7,6,2,6,0.25,1,KG B
1,66,7,7,4,7,1,7,7,7,1,4,7,7,7,7,4,7,1,7,7,4,1,4,7,7,9,2,7,0.25,1,KG B
2,40,7,7,1,7,1,7,7,4,1,4,7,7,7,7,4,7,1,7,7,4,1,6,7,7,3,5,7,-0.08333333333333304,1,KG B
2,77,6,7,7,1,1,4,6,4,1,4,7,7,7,7,7,7,1,7,7,4,1,4,7,7,8,2,6.75,-0.916666666666667,1,KG B
2,53,2,2,2,2,3,2,2,6,3,2,2,3,2,1,2,2,2,2,2,5,3,2,3,3,5,2,6.25,0,1,KG B
2,35,7,7,7,7,1,7,7,7,1,2,7,7,5,4,7,7,1,7,7,7,1,3,7,7,8,4,7,0.5,1,KG B
2,53,7,7,7,7,1,7,7,7,1,2,7,7,7,7,7,7,1,7,7,3,1,3,7,7,5,1,7,0.416666666666667,1,KG B
2,64,6,1,4,7,1,4,7,5,1,4,7,7,6,1,3,7,1,4,7,4,1,6,7,7,7,4,6,0.333333333333333,1,KG B
1,71,2,6,6,6,2,7,6,4,2,4,7,5,5,6,6,6,2,6,5,4,3,5,6,6,5,2,6,0.08333333333333393,1,KG B
1,30,7,7,4,7,1,7,7,6,1,2,6,5,7,7,4,6,1,6,6,5,1,4,5,5,9,3,6.25,0.583333333333333,1,KG B
2,69,7,7,7,7,6,6,6,6,1,4,7,7,7,7,7,7,1,4,7,4,1,4,7,7,9,3,6.75,-0.166666666666667,1,KG B
1,61,5,5,2,4,5,4,5,7,2,2,4,4,4,4,4,4,3,4,4,7,1,2,5,5,5,0,6.5,-0.3333333333333339,1,KG B
1,42,5,6,3,5,3,3,3,1,3,3,3,7,2,5,1,3,5,3,3,1,3,3,3,7,5,4,7,0.8333333333333335,1,KG B
1,61,7,1,7,7,1,7,7,7,1,4,7,7,3,1,6,7,7,6,7,4,7,6,7,7,5,4,6,1.916666666666667,1,KG B
